Comment,Language_Index,Language
"han, 9m shatabdite khanan kara janapriya ellora guhagulote panchta prachin jain guhaar ekata samashti royas aar eta aurangaader anyatam aakarshanian smritistambh৷",0,ben
"udaharanswarup, paksthali nimn pi.aich rekha (1 thek 4-r madhye) bahu anujiv yeguli pater madhye dhoke, tader janya maratmak hate par.",0,ben
"thik ach, ei hal amar nambar.",0,ben
"evan keu yadi asanyami (hay thake), samarthya anuyayi tara nijeder asanyam thek nirast kareque; evan atit o bhavishyater tulana pratyek kshetre tader pita, mata evan gurujander baadhya hay thakar fale tara aro bhalo thakave o sukhe thakave.",0,ben
"halo, eta ki tata capital?",0,ben
etake bhalbasar prateek aar aurangaader anyatam ekata pradhan aitihasik sthan hisabe dhara has.,0,ben
"sei samay trini chaturth hay bhartiya jatiya record garachilen, ya 40 bashwar percent bhaneni.",0,ben
"alaska ankarez, feiervanks evan heince vikshov sahya karesil.",0,ben
alochanar janya sadharant tin din baradd kara has.,0,ben
tahale to parer bar aami yachrii.,0,ben
"dhanyabad mam, beshirbhagai aponi amader ager class padieven.",0,ben
effedeviter janya kohn kohn praman lagave?,0,ben
he bhagwan! kotha thek aisav bhulval dharna pao?,0,ben
aponi nyashnal skalarship portal thek aro bistarit tathy downlod kare nite parein.,0,ben
carbota aste kat din lagave?,0,ben
"chal (chaler papad o prakriajat khadya tiri chada) evan gamer kshetre japan swaynsampoorn also, anyanya dana o pashukhadya shasyer prayojner 50% deshtiqu aamdani karte has, evan ardhek maser joganer janye aamdanir uparei nirbhar kare.",0,ben
besh! gene bhaal lamal.,0,ben
tara bivinn jinis shikhte parve.,0,ben
"samarthane bhotgulo popular force, e.aar.pi.e, brod frint evan popular akshan bencher taraf thek asese.",0,ben
lakshyati have bartaman naari nirakshartar haar tin bakhrer madhye ardhak hras kara.,0,ben
"2006-e new yark shahrer appl fifth avinu storer udvodhantite aneke upsthith chhillen, evan anusthanti janya europe thekeo atithira ure asen.",0,ben
udaharan o upadesher madhyam shesh muhoorth percent trini manavtar seva kare gateen.,0,ben
"in.aar.o acount anumodanyogya amantaguli halo bharter byre thek abhyantarin arth preran, bharte baidh bakaya evan anyanya in.aar.o acount thek sthananthrit arth.",0,ben
eta karte gele tader shikhte have kibhave baltake nijer kache rakhar janya safalbhave evan sathikabhave o tadatari baltake khelwarder maz die katie ante has.,0,ben
asha karchi eta yen dekhte pari.,0,ben
anaya kono sahaitar prayojan haley yogayog karte bhulben na.,0,ben
aapnake anthat 3 bashwar dhare yathayambhave premium die yete have.,0,ben
kintu aapnake etao nischit karte have yate o byre ya evan anaya bachchader saathe khele.,0,ben
kintu tarapar dekhalam sony ten 1-e.,0,ben
beta (anubad: putra) halo indra kumar parichalith evan naushir khatau o kamalesh pand likhit 1992-era bhartiya hindi natya chalachchitra.,0,ben
amra ekati natun jinis prakash karchi.,0,ben
"abar, yai hok na ken, tate aapnar tikana thaka avashyik.",0,ben
"tarapar, kramash eti stryatopaj avadhi bede ya.",0,ben
"bartaman mammla, njity taar ekhtiar parityag kareque evan ekati viseshx prashasonic comiti upare bichaarasankrant karmkander bhaar nyast kareque.",0,ben
"maansik swasthyer viseshx yeman manorog viseshjara tader yogyata arjan karte kohn ek medical council af india centra thek em.bi.bi.es-r par manorogvidya em.de, psychiatric medicine deploma (de.pi.em) baa manorogvidya deplomat af nyashnal board (de.in.bi) sampoorn kare.",0,ben
labanakkaran evan ksharkaran halo shushk o ardhshushk anchalguli samasya.,0,ben
"paryaton shilper unnayan, parikalpana o niyantran vyavastha chada samajik, sanskruthik evan arthnaitik vikrutir fale bahat hate par ya paryatak o sthanian manusher samparker madhye die prativalit have.",0,ben
bayur wapamatra niyantraner kshetre jalin vapor ekati viraat bhumika royas kaaran eti bhuprushtha thek saura shakti evan vikirna taap shoshan kare neya.,0,ben
"alute masala makhie, fetano basena chubie nie dubo tele bhaja yatakshan na bhalo kare bhaja hachche, tiri kara has maharashtrer ei suswadu o janapriya khavarer pad.",0,ben
aami bhavachi bhavishyater padashonar janya aami vigyan newo.,0,ben
2ya bhagti (anuchnaed na. 17-24) sammelner nathikaran o paryavekshan evan seguli vastawayaner janya dalguli newa padakshap parichalana kare.,0,ben
"ei vishanguli dike kheyal rekhe, mudrasphiti abhikshepty dvitiya tin mase 7.1 shatanshe; iii tin mase 6.5 shatanshe; evan chaturth tin mase samanbhave bharsamya baja rekhe 5.8 shatansh sah 2022-23-e 6.7 shatanshe dhare rakha hayes.",0,ben
"khadya upadan, arthaniti o nirapattar upar era prabhaver drun jivanurodh pratirodher shaktikeo swasthy, jatiya nirapatta evan arthanitir prati ashanka hiseve vivechana kara has.",0,ben
eta tader janya kajer have.,0,ben
amader uchit yogyatar opr nirbhar kare oder usahit kara.,0,ben
amar kaaj hal grher pariwesher sabche aparibartanian dik na also anyatam ekati aparibartanian baparer sanrakshan kara.,0,ben
"aar.si.aai-ke adirup bikashit karte sahayya kare haidrawader emplayij state insurance karporeshan medical college, evan chikisa vyavharya panyer parikshan, moolayan, evan swikrutite sahayya kare postgrajuet institute af medical edukeshwan and research.",0,ben
"vyaktigat muldhan aharner kshamata ki abadharitvave mushtimeya manusher haate sampada centribhoot kare, naki vruddhi, pratiyogita evan prayuktigat pragati bharsamya rakshakari shaktiguli baishamya kama?",0,ben
doblu.doblu.i channele live hachchhil.,0,ben
beshir bhaag wsand aami amar daler sang barie padi.,0,ben
"na, eta snatak o snatkottar stare carigari evan peshajanit corsegulikeo kabhar karbe.",0,ben
"bistrutarupe, rojgar swikrutir nitity conorkam swarthvittik bicharer parivarte nairvyaktik evan punruddharer nathi-vittik haoya uchit.",0,ben
"achha, tahale to thikai ach.",0,ben
ei skimta elaisi'r sang sahayogita kara hayes.,0,ben
"abhowar ager purvabhas evan sarvashesh khabar anuyayi, praia 3 din dhare chalbe eta.",0,ben
aami asha karchhilam ye aponi apnader kichu khabar nie paramarsh dite parven.,0,ben
"kudhar sang ladaie, ganamadhyam taaraka evan sanshlisht naagarikder kshamtake ekatara karte, 1997-e kansart, kridanushthan evan anyanya caryakram samanvit telod named ekati abhiyan shuru kare ef.e.o.",0,ben
"dhan halo pradhan shasya evan dal (shunti), ragi (marwa) o anyanya khadya shasyao upadan kara has.",0,ben
aapnar pan card die shuru kara yak.,0,ben
suprabhat. asha kari apnara sakale bhalo achen.,0,ben
"aadalat etao dekhe ye vyaktigat tathy o satyer gopanita hal gopanictar adhikarer ekati apariharya aansh evan seijanya eti badhyatamulak ye si.bi.de.si jari karaar janya tathy sangrher samay naagarikder sarbottama swarthke agradhikar dite have, shudhu seisb vyaktigat tathy sangrah kara have ya aavashyak evan shudhumatra sei uddeshyei vyabhhar kara have yar janya sangrah kara hachche.",0,ben
"chettinad randhanpranali halo tamilnadu rajyer chettinad anchaler nattukotai chettiyar, athva tader nijeder dewa naam anuyayi nagarattar named ekati sampradayer ek randhanpranali.",0,ben
tomar khabar ki; tomar ganer practice karcho to?,0,ben
pratity mrittika shrenike ekati paden athva tader samagoshthir madhyam chihnit kara has.,0,ben
sulemaner baba-ma besh lamba chhillen.,0,ben
"han, keralar anek khavar sadharant nardale vyabhhar kara has.",0,ben
"sei anuyayi, dayer kara nalishti gujarater aadhikarikder kache pathano hayesil.",0,ben
ken karche tara aisav?,0,ben
indonesiar supreme court (indonesian: maykamah agu) halo bichaar vibhagian shakhar sabche uchch star.,0,ben
ekhane masalao prachur tai beshirbhag khavar masalar pariman khub beshi thake.,0,ben
"era safalyer pare chhabity poorv eshian bajar dekhano has; 2010-era 17i december eti taiwane mukti pa, taar par parai 2011-era 1la september hankang-e mukti pa.",0,ben
amanki amar nijer pariwar cha aami scule yawa bandh kare rojgar karte shuru kari.,0,ben
siddhantati ataev bharat adhirajyer viseshx sansthaguli upar sede dewa hayesil.,0,ben
"tave, bartaman niamaguli analine prakriakari athva vaidyuthin-banisya lendener madhyam arth sangrah sahayakder kshetre prayojya.",0,ben
super janya aapnar kii kii vikalp ach?,0,ben
"avaruddha jalashyer madhye die cruise kare ghora samay ye shobha chokhe parbe ta hal nadeer parei jivan, sabuj dhaner khet evan majhe majhe mandir baa girza sah narcler bagan.",0,ben
sekhankar jale prachur pariman iron royas.,0,ben
"gibraltar pranali, tirrenian saagar, cook pranali, grice toronios upsagar (casandra upsagar), california upkuler catalania channel evan three ankar upsagar thek dakshina africa cape touner kache raven dweep percent 2005-e panchatti mahadesher saagar pranali santr paar kara pratham mahila hollen tinei.",0,ben
gram ek mahamari chhadie pade evan ashramer bachchader surakshar kshetre aami spost bipad dekhte pelam.,0,ben
aponi ki manoyog sahakare help paijguli padesilen evan punkhanupunkhabhave samasati shudhrachillen?,0,ben
prachintam udahraner madhye mesopotamiar sahar-rajya laagash o ummar (anumanik 2100 christpurbabd) madhye shanti sukti evan mishrian farav dvitiya ramses o hitteit raja iii hatusili madhye ekati sukti 1258 christpurvabdev samapth has.,0,ben
"eti nciclopadia britannika, inkarporated kartruk prakashith has; sansthati astitva sei 18sh shatak thek, yadio shatabdi jure bivinn samay eti malikana parivartit hayes.",0,ben
"sahityik shilp hal sahityer samast kaaj ya shaili, vishyawastu, charitra kimba galper dhanch sunder. gitikabita, natak, chot galp evan upanyas era udaharan.",0,ben
"pathogener kshayaprapti nischit also, pathogenic rupe phire gie roger janma dewa tader pakshe atyant viral.",0,ben
pashchimghat evan arab sagarer madhyavarti 720 kimi dirgha elaka jure ekaguchchha gopan saikat evan khandi avasthan.,0,ben
dalalrai ye daam barie deya seta tumi ekadam thik baleso.,0,ben
"6.4.6 dhara vyakhya kare prajna kaunsuli dakhil karen ye, ukt dharati ekati gurudand bahan kare; ye ukt dharati caryakari sansthar tarfe kono bhuler janya telephones kathavarta anya hastkshap athva bhul jayga chalith karaar kshetre prayojya anyatha naya; evan bartaman mammla nalisher antargat caryakalapaguli rilaencer na hay ek nitihin grahaker hawa 6.4.6 dharati prayukt have na.",0,ben
bhavishyate suvidhar janya aponi campases amader parisheba pete ekata ap vyabhhar karte parein.,0,ben
amra dal bedhe kaaj karabo yadi apnara chan.,0,ben
"achha sar, balun aami aapnake kivave sahayya karte pari?",0,ben
"vaagh guha yekhane buddha dewalcitra royas, ta madhya pradesher dhar jela thek 97 kilometer dure avasthit.",0,ben
"han, han.",0,ben
"tejascrian isotoper kramavardhaman chahida evan parmanvik vigyane unnat gaveshanar purvabhas pae, 1970-ei tulanamulkabhave uchchatar neutron pravah yukt arevati parmanvik culli prayojanita anubhut hayesil, yar fale tromber bark-e shesh percent aar-5 (paravartikale dhruva parmanvik culli name parichit) parmanvik cullities nirman evan sampadan caryakar hayesil.",0,ben
"o, han, aponi amader agulo padiesillen, dhanyabad.",0,ben
ini swikrutir janya bier nivandhikaran avashyik.,0,ben
amar credit scor dekhe kat taka pete pari janaven daya kare?,0,ben
achha. tahale shesherta kii baper?,0,ben
aami aapnake tikana pathi dev pache se yadi na gene thake.,0,ben
arthshastra anuyayi ekati swarna baa karsh chhil 80 rattir saman (1 masha = 5 ratti maner vittite).,0,ben
tomar ki kono prashn ach?,0,ben
barder janya alada kare pravesh muly nei.,0,ben
"bajar ekashoti handset ach evan tara pardaar ayatan aar ye prayuktiguli tara pradaan karte par (udaharan em.em.es, wap 2.0) sei dik die pruthak.",0,ben
shesh class thek amar koekata nadeer katha mane ach.,0,ben
amio bhavachi ekata swasthy vima nev.,0,ben
eta eman cono prakriar kshetre hate par ya ekati jiv thek udbhuth has (ya halo endogenic) evan pariweshe sada deya (pariwesh dwara pravesh karano).,0,ben
"chalaate paro, thik to?",0,ben
"yakhan pulish 154 dhara adhine thaka sanvidhibaddha prayojaniyataguli paalan kare na, nirdhari caryadhara takhan akhil bhartiya ayurvigyan sansthaner maamala, gangadharer maamala, hari sinher maamala evan minu kumari maamla kshetre sarasarivave virodhe chhil.",0,ben
seisb sthalbhumiro nijasv kichu anany baishishtya royas.,0,ben
nie berole lajjate marei yabo pratyekabar.,0,ben
"aponi yadi chan, aami aapnar saathe amader agentder madhye ekajner yogayog karie dite pari yini aapnake vishadbhave burrie deven.",0,ben
ta bhalo. sarkari sangrahashala et vikhyath ken?,0,ben
"na, ogulo bahukal ager anaya ek ryder chhabi.",0,ben
"amiya chakravarty (30she november 1912-6i march 1957) 1940 evan 1950-era dashaker ekajan bhartiya chalachchitra parichalak, chitranatyakar o prayojak, evan hindi cinemar pradhan chalachchitra parichalak chhillen.",0,ben
"ekati besh bada pradarshani, sanrakshnagar evan karmakshetra elaka sah tahri maidane grand mishrian sangrahashala hal prachin mishrian sangrahashala dirgha pratikshit prathmik pratisthapan.",0,ben
"namaskar sar, aami adarsher ma.",0,ben
"punch evan mirpur anchaler bidrohaguli evan pakistan-samarthit khaiber pakhtunkhowar pashtun upjatiya hastaksheper pare, bhartiya sainyer sahayata prarthana karen maharaja.",0,ben
ekhan ki vyast?,0,ben
"aar, avedan karaar paddhatita janote pari ki?",0,ben
"april 2020-r shuru dike, adhikarta corona viracer janya yakshmar sambhavya ekati tikake africa pariksha karaar vishay du'jan parsi vigyani adhyapak jaa pal meera evan camil lakht-era mantavyer virodhita kare da. jan kengasan take ""nyakkarajanak evan jatividveshmulak"" bale abhihit karen.",0,ben
"islamic bangla taar sukshma sutir kapad evan sari upadan, visesh kare jamdani janya prasiddh, ya mughal darbar thek hukumanama paesil.",0,ben
takhano tomar binioga 8 shatanshi thakave.,0,ben
mahatma gandhi satyagraher aadarsha pratyek bhartiyer madhye anyer bada maper bhalo karaar janya adamya atmavishwas o tyager chetana jagie tulesil.,0,ben
dirghakalin biniogaguli anek bakhrer janya dhare rakhte has evan adur bhavishyate nishpatti haoyaro kono abhipraia thake na.,0,ben
nyuntam badus hal 90 din.,0,ben
"praktan ek bijepi rajanitivid evan sakriya karmi, ratan tirk balen ye upjatiya sampradagulike manjur kara sav-shasan adhikarguli vastawayan nischit karte yathest sachest honni murmu.",0,ben
andamaner sera jale dive dewar jyagaguli royas durvarty avasthan evan vyaktigat iyot charter chada ponchano asambhava.,0,ben
"pratham panch bakhrer madhye mrityu haley, mrityur upar bimakrit raashi dewa have.",0,ben
amar ekhano mane ach kibhave pashchimbonger tablota shesh bar sajano hayesil.,0,ben
"appl storer udvodhan evan natun panya mukti shat shat manusher vid tante par, yar madhye kichu maanush abar udvodhaner ager din thek panktite apeksha karaben.",0,ben
"tai naki, taar charitrata kii chhil?",0,ben
vyaktitber badheer janya praman-vittik cicotherapy madhye royas gyan-vittik achrangat therapy evan visesh kare simantabarti vyaktitva badheer janya royas dwandvik aacharan therapy.,0,ben
tara ei prastave raji haley anyadero ekai pantha abalmban karte raji karano yave bale amar mane hal.,0,ben
sei janyai ei dinta gota upamahadesh samya deebs hisebe udayapit has.,0,ben
emael adresota kaaj karaar mato halei have.,0,ben
erakam bhave padashona karaar katha veveso kakhano?,0,ben
tathakathith ekati bhasvaradiper viparite ekati el.i.de takhnai jwalbe yakhan dioder samaner dike voltege prayog kara have.,0,ben
gaddi namta to dite have.,0,ben
"sei thek muly comme gele, itimadhyei seguli biswa arth sankater goda deeker nimomaner praia dvigun.",0,ben
aami bodhaya unmad hay yetam yadi ama aro ekata saptah barhi madhye thakate hato.,0,ben
karnatker madhye die ekati myavi o mantramugdhakar yatra nie chala golden chariot karnataka rajyer sampadashali sanskritike purna kare evan ta nijei ekati vismay.,0,ben
tumi okhane katadin chhile? aar okhane tumi kii kii dekhle?,0,ben
ei iii dhaper uddeshya hal eman bhave falaphal pesh kara evan janano ya siddhanth-grahanke samarthan karbe.,0,ben
sampratik kono bike ride gachhile naki?,0,ben
eta viseshat ei bichar ye biswa kramash digital hay uthche.,0,ben
aisav takhnai prayojya have yakhan samast bakaya parishodh kara hay yave.,0,ben
"yehetu samiksha bala ach na karte sehetu aponi yadi kichu na karen, seta pratiraksha hiseve yathest bhalo nao hate par.",0,ben
"ekadam bhai, thank yu.",0,ben
sakal paduader janya analine webasite www.scholarships.gov.in. e avedan karata badhyatamulak.,0,ben
2014 sale tar mrityur ag aami eta arjan karte parini.,0,ben
eta ki prati mase rineau karte has?,0,ben
"anayadike kavita hal eman sahityakarm ya ekati shaktishali anubhutha kimba dharnake prakash karaar janya chhada, chand evan anyanya kaushal vyabhhar kare.",0,ben
"han, han. baidh bhoter parichampatrao thakate have.",0,ben
aponi kat taka tulte chan?,0,ben
amader eta aro beshi bar kara uchit.,0,ben
"2021 saler 15i september antarjatik ganatantra deebs smaran sansad tube chalu kara hayesil bharter up-rashtrapati shri em. venkaia naidu, bharter pradhanmantri, shri narendra modi evan loksvar spikar, shri om birlar august upsthitite, nayadilli sansad bhavan samyukta sadane.",0,ben
eta tader kshetreo bhalo have.,0,ben
sangrahashala pakage royas prasader sabkata court o gallari evan tripad chada camera.,0,ben
2015 saler kamanoelth carate games bharter delhite anushtit has.,0,ben
ei skimta arth mantrasker antargat.,0,ben
"walt dijani warlder centrabindu halo charti theme parkh dya majik kingdom, epkat, dijani halud studio evan dijani animal kingdom.",0,ben
"yeman ballam, amar motorsaicle chade miler par mil perie yete bhalo lag.",0,ben
kajer gati badate gatwar bhin rajya thek karmi aana hayesil.,0,ben
adape agulo satej aar sugandhe bura.,0,ben
"han, chai.",0,ben
"tathy athva parisheba nishkriya baa kshaya karte, anyanya computore nagal pete ek siber aparadhi kono ekati computur athva antarjalke akraman kare.",0,ben
"o achha, buslam. eta ki niramish?",0,ben
"2020-te, arthmantri nirmala sitaraman inti sanshodhaner janya ekati biler prastavana karen.",0,ben
k'ta ticket lagave tomar?,0,ben
20sh shatabdeer vishwavyapi vruhattam banijyashilp hisabe evan 21sh shatabdite druttar vruddhir sambhavana nie paryatonshilp atmaprakash kareque.,0,ben
tara tader sang kichu animeshan evan bajna dekhate o bajaate thake.,0,ben
bharter anchalik bhashar sera chalachchitragulikeo jatiya chalachchitra puraskar pradaan kara has.,0,ben
"eti de.i.pi.em, bi.tech (electronic enginearing), em.tech (electronix dizin technology), pi.aich.de evan swalpamyadi course aafar kare.",0,ben
2012-era december kerala van vibhag wanad banyaprani abhayarnyer prante ekat cafi bagan ekati baghke guli kare.,0,ben
kichu takaar vyaktigat run nite chai aami.,0,ben
prachur sahitya royas ya tumi paadate parve.,0,ben
"chashider malikanadhin pahari jamite bivinn dharner fal yeman aam, saveda, kamalalabu, kala, penpe, anaras evan muljatiya fasal upadan kara has.",0,ben
"stantdhrmi chhabi evan adventure akshan chhabi manusher mane dag katte pareini: shikshit shreni eder janapriyadharmi, ashleel evan kalushmayi prabhava hiseve dekhe.",0,ben
"satyi balte, aami dishahara.",0,ben
amar priya bihari khabar hal chatura paratha.,0,ben
ei libraritiqu painder target paryakram baad die nirvachan kara has ya reporter gin gadhner prabartak anchale pravesh karano has.,0,ben
barshakalata ekatu kathin mane also et bachre seta ga-sawya hay gamee.,0,ben
amader besh kichu kaagajpatra darkaar.,0,ben
aponi ki anugrah kare amake sahayya karte parven?,0,ben
ei dharati 1970-era dashake manosamiksha o darshaner madhyam evan tarapar 1980-r dashake itihasher madhyam vitarkke agie nie gie nijer punravritti ghata.,0,ben
"ei vibhranti dur karte, kono vyakti sampattihintar shapath nen evan aatmar paripurnata upalvdhi karen.",0,ben
india gater dike evan sabasheshe lalakilla.,0,ben
duto khubi alada kintu aakritita ama era katha mane karie dicche.,0,ben
"chhabity mukti pawar 10 bashwar pare arbaj khan ekati saakshakare balesillen ye, chhabiti bajet 30 koti (2020 sale 57 koti taka baa 7 koti 2 laksh markin dollarer saman) thek 49 kotite (2020 sale 93 koti baa 12 koti markin dollarer saman) barano hayesil yar fale tar besh kshati has, tave vismayakar safalyer pare trini salmaan khaner parishramik die diesillen.",0,ben
aami ekata sthanian khavarer taalika khujchhilam yate maida nei.,0,ben
seta aapnar bhartiyader janya 500 taka evan bideshider janya 1000 taka parve.,0,ben
1920-era dashak thek peshadari engineearra dhatuvidya aagrahi chhillen ya poorve aitihyagat karushilp viseshjader ecchetia kshetra chhil.,0,ben
"bimanbandare mit o greet parisheba paryatakder pashapashi sansthar janyao ekati gurutvapurna seva yehetu eti paryatakder aagman baa prasthaner samay druttar cliarenc sahaitar madhyam sthananter, malapatra bahan o pariwarsah bhraman sahayya kare evan bimanbandarer madhye die drut, nirjhanjhat o nirapada chalan nischit kare.",0,ben
kronas taar pitar sang vishwasaghatkta karesil evan taar santan sei ekai kaaj karbe ei bhay se riyar pratity santanke janmalaver sang sange kede khay nit.,0,ben
"goa, baba!!!",0,ben
evan dawitve thaka vyakti parichayer praman.,0,ben
"ei koengulo beshirbhagai tamar evan kbachi kadachi rupor has, dhatur digulite sabadhane prayojanian naksha kata has.",0,ben
karte have! aami chai ei abhijeetata ekadam aladai hok.,0,ben
han aami register karechi.,0,ben
chokhate sadharant sarsher tel vyabhhar kara has.,0,ben
"most welkam, khub tadatari dekha hachche.",0,ben
du'toor janyai passporti yathest.,0,ben
theatre ek dharner shilp yekhane shilpi drushyaman o natki ubhay upadankei kaje laga.,0,ben
amra yakhan shilpakalar katha bhavi amader prathame ya mane aases ta hal chitrakala.,0,ben
tave amar mane has ya pabo tai diei amra kare nev.,0,ben
aami babar saathe katha bali.,0,ben
kakliar pratisthapan seisb manushero upkar kare yader shravan kshamata aro ullekhayogyabhave hras pa.,0,ben
"aankar anek dharner shaili royas yar madhye aadhuniktabadi, abhivyaktibadi, shastriya, paravasthav, cubist, china shaili, vimoorth, pratitibadi evan aro anek kichu ach.",0,ben
aami ek saptaher janya yav.,0,ben
"nishchalai, amka kal kare khub bhalo karellen.",0,ben
pratity pencile cyaium kancher sunirdisht niyantran sah Cs kaanch pencil tiri cyaium kaanch-sambolit bantakati nivedit punargalan cullite dur thek jora dewa has.,0,ben
"eter anek rakamfer ach, kintu yeta aami order karechi seta chaler gundo die tiri.",0,ben
tader naam bhoter taalika thakate have.,0,ben
"aami sadharant kusti beshi ekata dekhi na, tave ei bashwar resalmaniar janya unmukh chhilam.",0,ben
ei uparodher upar vitti kare sarkar 2006 saler 1la january agekar aadhikarik padmaryadar (pi.bi.o.aar) nicher pratiraksha penianbhogider penshner yathest unnati karaar evan 1997 saler 10i octoberer ager penianbhogider 1997 saler 10i octoberer pare penianbhogider samatulya karaar siddhanth niech৷,0,ben
eta gharer vetra athva byre khela ya.,0,ben
"avashyai, aami eiber ota miss karaar suyog niini.",0,ben
"prathamti upadanshilata udrekkari ekati upabhokta arthaniti, evan parerti sarvagrasi samajik niyantraner madhyam hisabe parikalpit ek ghatti arthaniti.",0,ben
"tachada, germanite aro anek padaar suyog royas.",0,ben
"aar han, eti prithvir vruhattam badwipaguli srushti kareque: paschim banger sundarbans.",0,ben
"hindu vivah ine anusar, vivahanushthaner ek masser madhye bier nivandhikaran karaate have.",0,ben
prathamti poorve evan pratity manbantarer pare pratyekatite ekati krut-yug (satya yug) sah ekati manbantar-sandhya (sanyog yug) thake.,0,ben
nyuntam prathmik raashi hal du laksh taka.,0,ben
jal vyabhhar karaar buddhita teniser thek dhaar kara.,0,ben
satyi? tara chibe? aami kii kare eter bapar kiqui janina.,0,ben
"sampratik cale, digital prayukti vyavharer fale amader charpasher prithivi bahu paribartaner saakshi thekese.",0,ben
"anchalik vidyudwahi tarajali pratham aantansanyog sthapan kara has 1991-era october mase, yakhan uttar-poorv o purbanchalian vidyudwahi tarasaliguli aantansanyog karano has.",0,ben
"han, eta aapnar pratham padakshap have.",0,ben
eta to ferary.,0,ben
prathmat sar amra jali paesi anek jhamela par.,0,ben
"achha, bai!",0,ben
"ta chada, shudhumatra bharter naagarik halei bhotdaner yogyata thakave.",0,ben
besh kul have baparta yadi milakha sinher matan ekajan mahan kridavid haoya ya.,0,ben
aami harish evan aami swami vivekananda edukeshnal instituter taraf thek kal karchi.,0,ben
"bhartiya sankhya vyavsthati pashchathya vyavasthar dasher chaturth shakti hay shoonyer anurup: ek, dash, ekasho, ek hazar, evan dash hazar.",0,ben
"pratham, abhist vivaher ekata notis aapnar jeller vivah nibandhker kache dakhil karte have.",0,ben
"eta to ekata viraat sankhya evan chharachatrira, yader prayojan royas tader janya upkaari have eta.",0,ben
bodhgaya (bihar)-i halo sei sthan yekhane rajkumar siddharth gyan labh kare bhagwan buddha han.,0,ben
"pradhan filter capasitr sadharant kshater upar ye prakaar plastic film lagano thake tate morano thake, kaaran aguli kam kharche hai voltege vidyu pradaan kare evan hatto gale ya evan sav-nirama baishishtya sah banano.",0,ben
trini pranavant ganatantrik kathamo gaeane ekati gurutvapurna bhumika paalan karechillen yar janya bharat garvit bodh kare.,0,ben
sony ten 3-e hinditeya dekhte paro.,0,ben
han. eta khubi kathin kintu shishuder janya shastriya sangeeter vishal maansik upkarita royas.,0,ben
"imamder madhye ekati gopan balter madhyam sampradayer pradhan pratinidhi, kanstanta mufatike nirvachit kara has.",0,ben
"poorvokt karner janya amader vivechit dharna hayes ye, mesurs. quality icecream evan bi.bi.el.aai.el samparkit naya- ei siddhante ase bichaarasbha kono bhul kareni.",0,ben
paryaton amader vyavasa also pratity safar ekajan paryatker kache smritibahul.,0,ben
aar apnader gram pradhan ke?,0,ben
"yaihok, parer abhiyan upkul thek kichhuta dure samudre avasthit abavahika (poorv upkul, paschim upkul evan andaman) thek i.i.jed simana percent antarbhukt karbe.",0,ben
basangulo konodino thikathak bhave parishkar has na.,0,ben
aami chai na ei sundari conorkam kshati hok.,0,ben
"ekabar 'aami karab' bale felle, seta kara chada tomar kache aar vikalp nei.",0,ben
mashrum bhaat kimba chicken kinoa biryani mato kichu.,0,ben
tomar janya sabche bhalo have german bhaasha.,0,ben
