text,label,Language,trans_lan,Translated_text
"kintu mangal pander birtvasuchak kaaj, uchch o mah nitir prati nishthar madhyam sampadit hayesil.",0,ben,"কিন্তু মঙ্গল পান্ডার বীরত্বাসূচক কাজ, উচ্ছ ও মাহ নিতির প্রতি নিষ্ঠার মধ্যম সংপদিত হাযেসিল.",But Mangal Pandey's brave deed was done through devotion to a high and noble principle.
"penyajguli swachsub hay ele, makhie rakha panthar mas halud gundo sang die din evan samast masala mase na dhoka percent 5-6 minute mato kichu samay dhare kafate thakun.",0,ben,"পেনিয়াজগুলি স্বাচসব হয এলি, মাখি রাখা পন্থর মস হলুদ গুন্ডো সংগ দি দিন এবান সমস্ত মসলা মস না ধোকা পর্সেন্ট 5-6 মিনিটে মাটো কিচু সময ধার কফতে ঠাকুন.","Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes."
"hitopadesh hal pakhee, pashu o manusher charitrer madhyam bozano paarthiv gnaner ekati bai.",0,ben,"হিতোপদেশ হল পাখী, পশু ও মানুশার চরিত্রার মধ্যম বোঝানো পার্থীব জ্ঞানের একাতি বাই.","The Buddha cites this illustration of fire, animals, and humans with impinging upon their personalities."
ei baiti uddeshya dandalo gie sanskrute mataprakasher dakshatake evan gyanagarbha achar-achrner shikshake usahit kara.,0,ben,এই বৈতি উদ্দেশ্যা দঙ্ডালো গি সংস্কৃতে মাতাপ্রকাশের দক্ষতাক এবান জ্ঞানগর্ভ আচার-অচনের শিক্ষাক উসাহিত কারা.,The aim of the Sanskrit literature is to harness the power of the conspirators and the knowledge of the conspirators to communicate a powerful feeling or concept.
haora shahrer itivrutt (pratham o dvitiya khand) shirshak 1994 o 19995-te prakashith tar janmasahar haora sampoorn itihas sankalane ek agrani bhumika paalan karen adhyapak asitkumar bandopadya.,0,ben,হাওরা শাহরার ইতিভৃত্ত (প্রথম ও দ্বিতীযা খাঁডে) শির্শক 1994 ও 19995-ট প্রকাশীত তর জন্মশহর হাওরা সম্পূর্ণ ইতিহাস সংকলেনে এক আগ্রানী ভূমিকা পালন কারেন অধ্যপক অসিতকুমার বান্ডোপাধ্যা.,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1999.
"caityer dalaner samaner ansher byrer dicti veshirabhag aansh kashthanirmit unmukta sammukhbhag sah ekati ardh-vruttakar chaityas khilaner chitrakalp dwara alankrit, evan, kichu kichu kshetre, sekhane drushtigochar kono chaityas khilaner janala thake na.",0,ben,"চৈতর দালানের সমানের অন্শের বিরার ডিক্তি বেশীরভাগ অংশ কাষ্ঠনীর্মিত উন্মুক্তা সম্মুখ্ভাগ সহ একাতি অর্ধ-বৃত্তাকর চৈত্য খিলানের চিত্রকল্প দ্বারা অলংকৃত, এবান, কিচু কিচু ক্ষিত্র, সেখানে দৃষ্টিগোচার কোনো চৈত্য খিলানের জনালা ঠাক না.","The caves of the towering minarets are generally of little breadth, with some ooze-free living areas, and some even without a tangy lamp."
'maharaj' evan 'khansama' (bharter viseshx pachakder prevalent naam)-der bahu prajnma shatabdeer par shatabdi dhare randhanpranaliguli nikhunt kare tuletten evan hazar bachreroo beshi samay dhare ei randhanpranaliguli mukhe mukhe prevalent hay asese.,0,ben,'মহারাজ' এবান 'খানসামা' (ভার্টার বিশেষক্স পাচকদার প্রচলিত নাম)-দর বাহু প্রজন্মা শতাব্দীর পর শতাব্দী ধার রণধন্প্রনালিগুলি নিখুন্ত কর তুলেট্টান এবান হাজার বাচরেরঊ বেশী সময ধার এই রণধন্প্রনালিগুলি মুখে মুখে প্রচলিত হয আসেজ.,The term Maharaj is derived from the Sanskrit root Yuj (known as the Yuj) and the term Lakshmana is derived from the Sanskrit root Yuj (known as the Khyber Pakhtunkhwa).
"aitihyagatvave, ek basta waza athva pradhan pachaker sang sahakari ekadal waza athva pachakagana rannati karen.",0,ben,"ঐতিহ্যাগত্ববে, এক বস্তা বাজা অঠবা প্রধান পাচকের সংগ সহাকারী একাদল বাজা অঠবা পাচকাগনা রন্নতি কারেন.","In fact, a single tube well or a single tube well is allowed by the organizers of a single tube well or a vegetable oil."
pao bhaji: sadharant makhane bhaja sabji ghan tarkaari (bhaji) naram panuruti roll (pao)-era madhye bhare pariweshit maharashtrer ekati chatjaldi khabar visesh.,0,ben,পাও ভাজী: সাধরংত মাখনে ভাজা সাবজি ঘান তরকারী (ভাজী) নরাম পানুরুতি রোল (পাও)-এর মাধ্যে ভার পরিতেষিত মহারাষ্ট্রের একাতি চাতজলদী খবর বিশেষ.,"Potatoes mixed in masalas (finger millet), besan batter (finger millet), and molasses are the important food crops of Maharashtra."
"lal ded evan habba khatuner kashmir rachanaguli tader rahasyamita evan abhivyakti tibra yantranar janya parichit, rajasthanite mirabaier rachanaguli anany bhaktiguner janya parichit, tamile andaler rahasyamita evan kannde aakka mahadebi bachanguli takalin sahitye nareeder mah avadaner praman.",0,ben,"লাল দেদ এবান হব্বা খাতুনার কাশ্মীর রচনগুলি তাদার রহস্যমিতা এবান অভীব্যক্তি তিব্রা যন্ত্রনার জন্য পরিচিত, রাজস্থানিট মীরাবাইয়ার রচনগুলি অনন্য ভক্তিগুনার জন্য পরিচিত, তামিল অন্দালার রহস্যমিতা এবান কন্ন্ডে আক্কা মহাদেবী বচাঙ্গুলী টাকালীন সাহিত্য নরিদার মাহ অবক্যানের প্রমাণ.","The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabai's compositions in Rajasthani is known for unique devotional quality, Andal's mysticism in Tamil and Akka Mahadevi's vachanas in Kannnada are testimonies to the great contribution of women to the literature of the time."
"vaagh guha yekhane buddha dewalcitra royas, ta madhya pradesher dhar jela thek 97 kilometer dure avasthit.",0,ben,"বাঘ গুহা যেখানে বুদ্ধ দেওয়ালইত্র রযাস, তা মধ্য প্রদেশের ধর জেলা টেক 97 কিলোমিটার দুর অবস্তীত.","The Bagh caves, like those at Ajanta, were excavated on a 97 km long strip between the Western Ghats and the Madhya Pradesh district."
"sanskrute mul shabdati sadharan arth halo kono galle athva vriksher shikad, kintu alankarik arthe, kono kichur pa athva nimntam aansh athva taldesh.",0,ben,"সংস্কৃতে মুল শব্দতি সাধরণ অর্থ হলো কোনো গালে অঠবা ব্রীক্শের শিকাদ, কিন্তু অলংকারিক অর্থে, কোনো কিচুর পা অঠবা নিমন্তম অংশ অঠবা তালদেশ.","In Hinduism, the main object of non-violence is the non-violence of a person with unsound mind or an unsound mind, but in counterviolence, the person with unsound mind or an unsound mind is allowed."
sindhu sabhyataa bivinn kshetre sekhankar prayuktigat gnaner janya parichit.,0,ben,সিন্ধু সভ্যতা বিভিন ক্ষিত্র সেখাঙ্কর প্রযুক্তিগত জ্ঞানের জন্য পরিচিত.,Indus Valley Civilisation is known for its technological knowledge in a variety of fields.
korbader sawai maara yaan; shudhumatra pandab bhaiera evan krishna benche chhillen.,0,ben,কোর্বাদের সবাই মারা যান; শুধুমাত্রা পাণ্ডব ভাইয়েরা এবান কৃষ্ণ বেঞ্চে ছিল্লেন.,All the Kauravas die; only the five Pandava brothers and Krishna survive.
yuddher pravalya atharo din dhare chale evan korbader parajayer sang ta shesh has.,0,ben,যুদ্ধের প্রবাল্যা অথারো দিন ধার চলে এবান কোর্বাদের পরাজয়ের সংগ তা শেষ হস.,The war between the two wars fought for a long time and finally the war end.
mahabharater centrian kahini halo hastinapur named aadhunik delhi thik uttara avasthit bharat namer ek upajatir purushanukramik rajatber sinhasana dakhalsankrant sangharsher kahini.,0,ben,মহাভারতর সেন্ট্রিয়ান কহিনী হলো হস্তিনাপুর নামেদ আধুনিক দিল্লী তিক উত্তরা অবস্তীত ভারত নামের এক উপজাতির পুরুষনুক্রমিক রজতবর সিনহাসন দাখালসংক্রাংত সংঘর্শের কহিনী.,The Sanskrit literature of India is a three-dimensional compilation of five ancient Jain dynastys that date back to the Indus Waterway as the Indus Waterway.
karnatka amishashi tulana niramishashider sankhya beshi hawa pradhanath niramish khadyai tader ranna antarbhukt thake.,0,ben,কর্ণাটকা অমীষাশী তুলনা নিরামীশশিদার সংখ্যা বেশী হাওয়া প্রধানাথ নিরামিশ খাদ্যাই তাদার রন্না অন্তর্ভুক্ত ঠাক.,"Potatoes are the main food crops of Karnataka, which are mostly cultivated by farmers."
"tanke sanjay uttar devan, yini yuddhakshetre kii chalache taar barnana karchilen.",0,ben,"ট্যাংকে সঞ্জয় উত্তর দেবন, যিনী যুদ্ধক্ষেত্র কী চলাচে তার বর্নানা কর্চিলেন.","Sanjaya, who is the CEO of the Air Force, asks the students about the course they are taking place."
ye duti mahakavya tamil bhasa pawa ya seguli hal shilppadikaram o manimekhalai.,0,ben,যে দুতি মহাকাব্যা তামিল ভাসা পাওয়া যা সেগুলি হল শিল্প্পাদীকারাম ও মনিমেখলাই.,Two types of Tamil literature are cinema and art.
ei anchale lanka gundo sabadhanbhave vyabhhar kara has.,0,ben,এই আঁচলে লঙ্কা গুন্ডো সাবধান্ভবে ব্যভ্হার কারা হস.,Mustard oil is used in this dish so that no inadvertent harm occurs.
yoga shabdati yukt athva sandhi athva ek haoya arthsampann sanskrit dhatu yuj thek udbhuth.,0,ben,যোগ শব্দতি যুক্ত অঠবা সন্ধি অঠবা এক হওযা অর্থ্সম্পন সংস্কৃত ধাতু যুজ টেক উদ্ভুত.,A metrical or a metrical language means finding upper bounds or estimates of how many elementary operations.
puri mandirer dewale khodai kara bibhann nakshar antahin bhaskarya thek bartaman orishir abirbhav ghateche.,0,ben,পুরী মন্দিরার দেওয়ালে খোদাই কারা বিভন নক্ষর অন্তাহিন ভাস্কার্য টেক বর্তমান অরিশির অবিরভাব ঘাটেচে.,The reefs of the caves are adorned with beautiful murals and impressive sculptures that tell about the life of Gautama Buddha.
"vashishth evar raza dike firlen evan vinitavave ballen: ""raja,aponi ekabar pratishruti die ashwikar karale ta aapnar kshetre kharap have.",0,ben,"বশিষ্ঠ এবার রাজা দিক ফির্লেন এবান বিনীতাবাবে বল্লেন: ""রাজা,অপোনি একবর প্রতীশ্রুতি দি অশ্বিকার করালে তা আপনার ক্ষিত্র খরাপ হবে.","Now, the king has come with a message from God to save mankind from evil."
arjuner hatashar matra upalvdhi karaar parei krishna tar aacharan paribartan kare prithivite dharmik kartavyer rahasya sampark tanke shikshadan shuru karen.,0,ben,অর্জুনর হাটাশর মাত্রা উপলব্ধি করার পরেই কৃষ্ণ তর আচরণ পরিবর্তন কর প্রীথ্বিত ধার্মিক কর্তয়ের রহস্য সম্পার্ক ট্যাংকে শিক্ষাদন শুরু কারেন.,Only when he realizes the extent of Arjuna's despondency does Krishna change his attitude and start teaching the mysteries of dharmic action in this world.
"patrer madhye chaler gundo yoga karaar samay, taar majhe, alp pariman cora narkels yoga karte parein.",0,ben,"পত্রের মাধ্যে চলর গুন্ডো যোগ করার সময, তার মাজহে, অল্প পরিমান কোরা নার্কেল যোগ কার্তে পরেন.","During the unlock, the vehicle will have to carry a minimum of one-third of the cab."
"ei belnakar patre aponi ek chamach nardale kora dewa die shuru karte parein, tarapar bhalo kare meshano chaler gundo die din.",0,ben,"এই বেলনাকর পত্রে অপোনি এক চমচ নারদেলে কোরা দেওয়া দি শুরু কার্তে পরেন, তারাপর ভালো কর মেশানো চলর গুন্ডো দি দিন.","To begin with the desserts, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes."
1835 christabd nagad maharaj ranjit sinher daner fale nanded-e ekati apurv sunder gurudwara nirmit has yeti sukshma khodaier kaaj sah ekati manorath swarna gambuj sambolit.,0,ben,1835 ক্রিস্তাব্দ নাগদ মহারাজ রণজিত সিনহর দানের ফালে ননদেদ-এ একাতি অপূর্ব সুন্দর গুরুদ্বার নির্মিত হস যেতি সুক্ষ্ম খোদাইয়ার কাজ সহ একাতি মনোরম স্বর্ণ গাঁবুজ সম্বলিত.,"Set like a stunning caves in 1835, a stunning caves adorned with beautiful murals and impressive sculptures."
samaved halo swarasmooher prastavit chand athva chhandobaddha taal baja rakhar sang manansi esav rucher sankalan.,0,ben,সমাবেদ হলো স্বরাস্ম্হের প্রাস্তাবিত চাঁদ অঠবা ছ্ন্দোবাদ্ধা তাল বাজা রাখর সংগ মানংসী এসব রুচার সংকলন.,Samaveda is the compilation of these selected Ruchas set to Svaras keeping their proposed Chanda or rhythmic meters.
"rajdhani koshaler bapar valmikir bivaran thek ekatha parishkar ye, prachin ayodhya amader ajker aadhunik shahrer thek kono anshe kam chhil na.",0,ben,"রাজধানী কোশালার বাপর বাল্মিকির বিভারণ টেক একতা পরিষ্কার যে, প্রচীন অযোধ্যা আমদর অজ্কের আধুনিক শাহরার টেক কোনো অন্শে কম ছিল না.","A stunning cave painting from the top of the towering Mount Kailash, in which the ancient caves of Ellora were not bleeding much."
"ekabar 'aami karab' bale felle, seta kara chada tomar kache aar vikalp nei.",0,ben,"একবর 'আমি করব' বালে ফেলে, সেতা কারা চাড়া টমার কাচে আর বিকল্প নেঈ.","Once he makes the payment online, he has no other way than to use the payment online."
"bartaman, takaar binimoy haar evan amader bideshi mudra binimoy amanter paryapttar vishay bivinn matamat royas.",0,ben,"বর্তমান, টাকার বিনিমোয হার এবান আমদর বিদেশী মুদ্রা বিনিমোয অমন্তর পর্যপত্তর বিশয বিভিন মাতামত রযাস.","At present, the market-clearing price of the rupee is determined by market forces and the transfer of foreign currency to the country's external sector."
"kono credit card acount ekamatra tindiner thek beshi samay dhare parishodhatit thackle, setic parishodhatit hisabe bank amanath tathy sansthagulike (siaisy) janave athva jarimana jari karbe yeman parishodhe deri jarimana ityadi.",0,ben,"কোনো ক্রেডিত কার্ড অকাউন্ট একামাত্রা তিন্দিনার টেক বেশী সময ধার পরিশোধতীত থাকলে, সেটিক পরিশোধতীত হিসাবে ব্যাঙ্ক অমনাথ তাথ্য সংস্থাগুলিকে (সিয়াইসি) জনাভ অঠবা জরীমাংনা জরী কার্বি যেমান পরিশোধে দেরী জরীমাংনা ইত্যদী.","A credit card is immobilized in an inert glass (vitreous) matrix, stored for a few decades in an air-cooled vault, or a mechanical tract or a mechanical force, in an air-cooled vault."
arthik avasthar unnatikalpe deshguli pratyaksh antarmukhi binioger janya usahit karte par.,0,ben,অর্থিক অবস্থর উন্নতিকল্প দেশ্গুলী প্রত্যক্ষ অন্তর্মুখী বিনিওগার জন্য উসাহিত কার্তে পর.,Countries may encourage inward direct investment to improve their finances.
"yaihok, packejati drut vastawayaner puraskar swarup, bank avedanpatrati grahan karaar 90 diner madhye anumodith packejati vastavayit haley, punargoner avedanti bank grahan karaar samarkar avastha sampader shrenivibhager avasthanti firie aana yete par.",0,ben,"যাইহোক, পকেজাতি দৃত বস্তাবাযানের পুরস্কার স্বরূপ, ব্যাঙ্ক অবেদন্পত্রতি গ্রহণ করার 90 দিনার মাধ্যে অনুমোদিত পকেজাতি বাস্তাবাযিত হলে, পুনার্গোনার অবেদন্তি ব্যাঙ্ক গ্রহণ করার সমরকার অবস্থা সম্পাদের শ্রেনীবিভাগার অবস্থান্তি ফিরি আনা যেটে পর.","However, as an incentive for quick implementation of the package, if the approved package is implemented by the bank within 90 days from the date of receipt of the application by the bank, the asset classification status may be restored to the position which existed when the restructuring application was received by the bank."
"vyaktigat muldhan aharner kshamata ki abadharitvave mushtimeya manusher haate sampada centribhoot kare, naki vruddhi, pratiyogita evan prayuktigat pragati bharsamya rakshakari shaktiguli baishamya kama?",0,ben,"ব্যক্তিগত মুলধান অহারনার ক্ষমাতা কি অবধারিত্ববে মুশ্তিম্যা মানুশার হাট সংপদা সেন্দ্রীভূত কর, নকী বৃদ্ধি, প্রতিয়োগীতা এবান প্রযুক্তিগত প্রগতি ভরসাম্য রক্ষাকরী শক্তিগুলি বৈশম্যা কামা?","Do the dynamics of private capital accumulation inevitably lead to the concentration of wealth in fewer hands, or do the balancing forces of growth, competition, and technological progress reduce inequality?"
atyadhik astaitishilta rash tante evan asha tickee rakhte eti bajar hastkshap kare.,0,ben,অত্যাধিক অস্তিতীশীল্তা রশ তান্ট এবান আশা টিকি রাখ্তে এতি বাজার হস্ত্ক্ষাপ কর.,This is because the market is tight and the possibility of further big investment.
dvitiya traimasik uchch-vyabaharik tathy staitishil arthnaitik caryakalap nirdesh kare.,0,ben,দ্বিতীযা ত্রেমসিক উচ্ছ-ব্যাবাহারিক তাথ্য স্টৈতীশীল অর্থ্নৈতিক কার্যাকলাপ নির্দেশ কর.,The recent sharp rate hikes have caused a tightening of financial conditions.
"samashtigat arthanitir mul vishyati hal sadharant ekati desh evan sab bazarguli kivave paraspar sanyog ghatie bada prapanch srushti kare, arthanitividara yake mott chalarashi bale thaken.",0,ben,"সমাংষ্টিগত অর্থানিতির মুল বিশ্যাতী হল সাধরংত একাতি দেশ এবান সব বাজারগুলী কীবাবে পরসপার সংযোগ ঘাটীএ বদা প্রাপঞ্চ সৃষ্টি কর, অর্থানীতীবীদারা যাক মোট চলারাশী বালে ঠাকেন.","The major market-linked economy is the organised sector, which economists call aggregate variables such as export growth, which economists call aggregate variables."
sankshipt samyer madhye sampoorn bazardrer kachakachi moolye arthik sampada bikri karaar simati liquidity madhyam nirdesh kara has.,0,ben,সংক্শীপ্ত সম্য়ের মাধ্যে সম্পূর্ণ বাজারড্রার কাচকাচী মূল্যে অর্থিক সংপদা বিক্রী করার সীমতি লিকুইডিটি মধ্যম নির্দেশ কারা হস.,"Under the aegis of the Composite package, a substantial increase in investment is possible by bringing in additional land under the capacities."
"bistrutarupe, rojgar swikrutir nitity conorkam swarthvittik bicharer parivarte nairvyaktik evan punruddharer nathi-vittik haoya uchit.",0,ben,"বিস্তৃতরুপ, রোজগর স্বীকৃতির নীতিটি কোনোরকাম স্বর্থ্বিত্তিক বিচরের পরির্তে নৈর্ব্যক্তিক এবান পুমৃদ্ধারের নাথী-বিত্তিক হওযা উচিত.","Broadly, the policy of income recognition should be objective and based on the record of recovery, rather than on any subjective considerations."
"ataev, erakam pariman sud baki pade thake na aar tai, sud tolar tarikh anuyayi in.pi.e-o baki thake na.",0,ben,"অতএব, এরকম পরিমান সুড় বাকী পড়ে ঠাক না আর থাই, সুড় তৌলার তারীখ অনুযাযী ইন.পী.এ-ও বাকী ঠাক না.","Therefore, these resources are not available in the government website and, in case of any queries, the NSP is not available."
bharter drut arth lenden vyavastha- upiai-ke anyanya kshetrer anurup vyavasthar sang samyukta karaar pashapashi bharter arth lenden vyavasthagulike anyanya kshetrer sang samyukta karaar sambhabanati arth preran sah antasimant arth lenden vyavasthagulike unnat kare tulbe.,0,ben,ভার্টার দৃত অর্থ লেন্ডেন ব্যাবাস্থা- উপিয়াই-ক অন্যন্য ক্ষেত্রর অনুরূপ ব্যাবাস্থর সংগ সংযুক্ত করার পাষাপশী ভার্টার অর্থ লেন্ডেন ব্যাবাস্থাগুলিকে অন্যন্য ক্ষেত্রর সংগ সংযুক্ত করার সম্ভবনতী অর্থ প্রেরন সহ অন্তসীমংত অর্থ লেন্ডেন ব্যাবাস্থাগুলিকে উন্নত কর তুলবে.,"The possibility of linking the payment systems to other jurisdictions, including the ongoing initiative of interlinking the payment systems to other jurisdictions, will enhance cross-border payment arrangements, including remittances."
vidyu centra o shilp (rasyanik saar) centraguli parichalna vyavahrut hawa shakti vibhag vruhattar gurutva dhaaran karche tarlikrut prakritik gas (elenji).,0,ben,বিদ্যুং সেন্ট্রা ও শিল্প (রস্যানিক সার) সেন্ট্রাগুলি পরিচলনা ব্য্বাঋত হাওয়া শক্তি বিভাগ বৃহত্তর গুরুত্বা ধারণ কর্ছ তর্লীকৃত প্রকৃতিক গ্যাস (এলেনজী).,Liquefied Natural Gas (LNG) is assuming greater importance in the energy segment as it is used to operate Power Plants and Industrial (fertilizer) Plants.
"yaihok, bazarguli aapnar bikri vruddhite sahayak also, seguli ekati techsi vyavasa garh tulte evan aapnar nijasv bazaryogya brand sristir sahayak naya.",0,ben,"যাইহোক, বাজারগুলী আপনার বিক্রী বৃদ্ধিত সহায়াক অলসো, সেগুলি একাতি টেচ্সী ব্যাবাসা গড় তুল্টে এবান আপনার নিজস্ব বাজারযোগ্য ব্রাণ্ড সৃষ্টির সহায়াক নাযা.","However, market forces may encourage more aggressive marketing, including new product releases, and a limited number of traditional, primary-product exports."
arth sangrah sahayakara (pi.e-ra) arthpradaan bastutantre ekati gurutvapurna bhumika paalan kare evan tai 2020-r march tader iner antarbhukt kara has evan arthpradaan vyavastha chalak (pi.es.o) aakhyath kara has.,0,ben,অর্থ সংগ্রহ সহায়াকরা (পী.এ-রা) অর্থ্প্রদান বস্তুতান্ত্র একাতি গুরুত্বাপূর্ণা ভূমিকা পালন কর এবান থাই 2020-র মার্চ তাদার ইনার অন্তর্ভুক্ত কারা হস এবান অর্থ্প্রদান ব্যাবাস্থা চলক (পী.ইস.ও) আখ্যাত কারা হস.,"The PREGA (PLI) Act of 2020, was amended and implemented by the National Rural Employment Guarantee Act (NREGA) in March 2020."
"tave, bartaman niamaguli analine prakriakari athva vaidyuthin-banisya lendener madhyam arth sangrah sahayakder kshetre prayojya.",0,ben,"তবে, বর্তমান নিয়ামাগুলি অনালাইন প্রকৃআকারী অঠবা বৈদ্যুংতীন-বানিস্যা লেন্ডেনার মধ্যম অর্থ সংগ্রহ সহায়াকদার ক্ষিত্র প্রযোজ্যা.","However, these measures have to encompass traditional, primary-product exports and thereby providing a supportive, trusting atmosphere in order to acquire new customers."
"ricardor antardrushti erakam chhil ye, ekati desh ta sattweo tulanamulak suvidha anuyayi taar vruhattam avadh suvidha panya raptani, evan taar tulanamulak kam (yadi takhano sadarthak thake) avadh suvidhayukta panyer aamdani kare banisya thek labh karbe.",0,ben,"রিকারডোর অন্তর্দৃষ্টি এরকম ছিল যে, একাতি দেশ তা সত্তুইও তুলনামুলক সুবিধা অনুযাযী তার বৃহত্তম অবধ সুবিধা পান্যা রাপ্তনী, এবান তার তুলনামুলক কম (যদি তখানো সদার্তক ঠাক) অবধ সুবিধাযুক্তা পানিএর আমদানী কর বানিস্যা টেক লাভ কার্বি.","The reefs were generally of little breadth, with no signs of vilu except for its eastern fringes, which were covered with islands that were quite large by Maldivian standards."
"9i september, 2022-era hisabe banker amanath, ek bashwar ager 6.7 shatansher tulana, barshik 16.2 shatansh har drut gatite vruddhi paese.",0,ben,"9ই সেপ্টেম্বর, 2022-এর হিসাবে বাঙ্কার অমনাথ, এক বশ্বর আজার 6.7 শাতানশের তুলনা, বর্শিক 16.2 শাতাংশ হর দৃত গতিট বৃদ্ধি পাজ.","On 9 September 2022, Bangalore has a literacy rate of 161.2 percent as against 6.9% in the previous month, which was at 6.7 percent."
"fasal-poorvavarti evan fasal-paravarty caryakramer janya runer madhye tader nijasv fasle kittnashak chhadano, nidan dewa, fasal tola, bachai, jharai evan paribahan antarbhukt thake.",0,ben,"ফসল-পূর্ববারতী এবান ফসল-পরবর্তী কার্যাক্রমের জন্য রুনার মাধ্যে তাদার নিজস্ব ফসলে কিত্ত্নাশক ছাদানো, নিদান দেওয়া, ফসল তোলা, বচাই, ঝরাই এবান পরীবাহান অন্তর্ভুক্ত ঠাক.","Loans for pre-harvest and post-harvest activities cover spraying, weeding, harvesting, sorting, grading and transporting of their own farm produce."
